DC0000000	['奥斯特公司。', '葛兰素史克加拿大公司', '许昌振德外科敷料有限公司。', '麦肯齐体育用品有限责任公司', '厄普舍史密斯实验室公司。', '普克伦斯配方公司。', '辉瑞制药比利时公司', '克罗格', '创意花园天然产品', 'i3制药有限责任公司', '斯派克特科学实验室公司', 'ONCODERM实验室有限责任公司', 'ZapVir公司。', 'Zydus制药（美国）有限公司。', '德尔金化妆品公司', '美丽建筑师有限责任公司', '圆桥公司', '广州市苍天生物科技有限公司。', '医疗科技产品公司。', '云雀Cmc']
DC0000380	['宁波利源日化制品有限公司', '辉瑞公司辉瑞实验室分部。', 'Esi制药公司', '输入Labeler NameComdata laguna S de RL de CV', '虎香（马来西亚）私人有限公司。', '生态扫描设备有限公司', '阿尔约拉', '卡尔瓦里工业公司', 'Solm有限公司。', '主动情报公司', '塔吉制药公司', 'NP韩国', '西格玛陶制药有限公司。', '红发药', 'BMH有限公司。', '纽约有限责任公司的Meds Direct Rx', '广州实验室', '豪华装饰销售有限公司', '巴沙尔塔美国公司。', '古鲁南达有限责任公司']
DC0000381	['麦克莱恩健康有限责任公司', 'Celmatrix技术有限责任公司', '国家生物绿色科学有限责任公司', '跨品牌合同填写', '高级生物皮肤公司', '波多黎各Patheon公司。', '同益石油化工有限公司。', '在校医务人员', '植物健康公司', '格里曼萨德CV酒店', '安全之手公司', 'E L Stickley有限公司。', '优质家庭氧气公司', '欧赛德制药公司', '赛诺菲合成实验室有限公司', 'Aptevo生物治疗有限责任公司', '鲁莱森蒸馏公司', '丹尼森制药有限责任公司', '鹰一号商贩', '医疗科技公司。']
DC0000382	['杰米森实验室有限公司', '马林克罗特公司。', '布莱斯渡口药房', 'Pdc品牌', '后现代蒸馏有限责任公司', 'Ultraceuticals美国有限责任公司', '塞尔公司。', 'A-Frame太阳公司', '卡罗莱纳州药剂师', '西普拉有限公司', '格林科斯有限公司。', '兰花化学制药有限公司', '威尔希尔制药公司。', '美必有限公司', '倩碧实验室有限公司', '玛丽安娜工业公司', 'Esc品牌有限责任公司', '阿克比亚治疗公司。', 'O.C.Seacrets公司。', '台州路道化妆品有限公司。']
DC0000383	['博纳文图拉工业公司', '中央包装', 'Rejudicare Synergy有限公司', 'PRN制药公司', '预防牙科守护天使', 'Ista制药公司', 'Oraceutical有限责任公司', '配体制药公司。', '梅杰', '新和国际公司', 'Publix Super Markets公司，', '国际药物系统有限公司', 'Merrell Pharms Inc.是Merrell Dow（Can）的子公司', '泽马国际公司。', 'TMIG公司。', '梅恩制药国际有限公司', 'Charmzone有限公司', '美国多元化学控股公司', '克拉夫特里与伊夫林有限公司。', '罕见疾病']
DC0000384	['戴尔氧气和乙炔服务公司', '莱蒙贝拉有限责任公司', '宝洁制造有限公司', 'NG美丽世界FZCO', '荷兰阿特纳制药公司。', '4513347加拿大公司。', '加拿大屏障治疗公司。', 'Margrey Industrial，S.A.de C.V。', 'Gynex公司', '呼吸家庭护理专家公司。', '福建爱尚化妆品有限公司。', '药物利用管理计划VA公司。', '艾米莉亚化妆品有限公司', '麦道医疗', '罗迪亚尔有限公司。', '无锡市永宁日化厂', 'Bio Vita', '黄根山有限公司', '冈格有限公司', '费尔菲尔德县整形外科']
DC0000385	['明星制药泛美公司', '勒纳帕（洛里斯）公司。', '斯瓦什（深圳）有限公司。', '奥拉实验室公司', '家庭美元服务公司', '帝国化学工业有限公司。', '斯潘世界有限责任公司', '史密斯·克莱恩法国加拿大有限公司。', '莱克斯公司', '阿拉斯加大学系统', '双子座制药公司。', '山楂公司', '克罗克集团产品公司。', '斯金米德国际有限公司。', '默克有限公司。', '博德化学有限公司', '直箭产品公司。', 'Aspirus Keweenaw家庭医疗设备', '怀尔德黑麦蒸馏有限责任公司', '奥雷纳实验室']
DC0000386	['中西部IV和家庭护理', 'Tekkware公司d.b.a.格洛斯特生物公司', '化学人', '蒂博泰克疗法', '米奥自然有限公司', '默克夏普多姆有限公司', '霍赫斯特加拿大公司。', '石油和水化学解决方案有限公司。', '阿姆尼尔制药有限公司', '老东街。一氧化碳', '标准化卫生系统', 'Pnr集团有限责任公司', 'Karyopharm欧洲Gmb H', '健康和平', '厦门奥来亚化妆品有限公司。', '格瑞森绿色全球有限公司', 'Socius Care有限责任公司', "Kill'Dat有限责任公司", 'DFMPRINTPAK3709', '德伊制药有限公司。']
DC0000387	['汤姆罗特酒厂', '阿克拉里斯治疗公司。', '裕廊东发百货有限公司', '阿斯特拉斯制药公司', '武田制药股份有限公司', 'Enviro Fresh', 'Arg实验室', '西沃德制药公司', 'H.E.Butt杂货公司', 'Fresh Chesh有限责任公司', '艺术化妆品', '食狮', 'Proactiv公司', '特温品牌公司', '米南医学院', '的确是实验室公司', '卡特霍纳公司。', 'Fusion制药有限公司', '纽卡制药有限公司。', 'Aafes\\/你们的军事交流']
DC0000388	['Kvk科技公司', '阿尔康研究有限公司', '梅尔卡生物医学私人有限公司', 'MGI制药公司。', 'DynamicClear合作伙伴有限公司', 'Mwi', '纯净温和公司', '里奇地产有限责任公司', '美妆用品有限公司台湾分公司', '康柏医疗与特种气体有限公司。', '诺帝西方产品有限公司。', '山姆西部公司。', '多尔根公司', '汉沃尔生命科学。有限公司', '阿尔比恩', 'Activ Ozone（私人）有限公司', '维乔恩', '安进公司', '卓越医疗用品有限公司。', '格伦代尔旅行社']
DC0000389	['TS化妆品实验室公司。', '美国的辉瑞药厂', '帕姆拉布，洛杉矶。', 'Ari Med制药公司', '美国专业配方公司', '元素个人护理公司。', '尼瓦根制药公司。', '杭州森慈利悦惠生物科技有限公司', 'JNC零售公司。', '65364-110', 'TriLipid研究所有限责任公司', '半球生物制药公司。', '伊利湖医疗Dba质量C', '文特斯有限公司', '尼尔米德制药公司', '百时美施贵宝联合制药研究所', 'Lnk国际公司', '大大西洋+太平洋茶叶公司', 'ATTWILL MEDICAL SOLUTIONS STERILFLOW L.P。', '海斯兰。有限公司']
DC0000390	['Amyris公司。', 'SmartHealth，Inc.（DBA SmartPractice）', '亚利桑那工艺饮料公司', '美容药业公司。', '太空链接公司', '精密液体', '海湾国家化学和焊接供应公司。', 'Cycle制药有限公司', '庙宇蒸馏', '肯·梅布尔公司。', 'Axenic健康解决方案公司。', '北咖啡馆。', '巴克斯特医疗保健公司', '云母实验室', 'Anexa生物医学公司。', 'X-GEN制药公司', '美国中部生物林匹萨。', '佩里戈纽约公司', 'Medassure，Inc.图森公司的dba Medassure。', '专业一次性用品国际公司。']
DC0000391	['健康马克家庭医疗设备公司', '草药运动有限公司', '联合促销公司。', 'Advantice Health有限责任公司', '安贝克斯公司。', '温斯顿塞勒姆盲人工业公司。', 'Ambix实验室', '马林和戈茨公司', '广州白云山药业有限公司白云山合济公药厂', '亨利·谢恩公司。', '阿泰克有限公司。', 'Suncoast公司的糖尿病供应。', '汉密尔顿疗法', 'H.j.哈金斯公司。', 'Ammmm公司。', '护肤品公司', 'H.J.哈金斯公司', '埃洛拉克公司', 'Park No-Suk公园的一条清晰的步行道', '沃森实验室公司']
DC0000392	['Ratiopharm公司。', '希尔皮肤药业公司', '加拿大阿纳希米亚酒店', '佛山市飞天医疗用品有限公司。', '阿什公司', '牙科用品公司。', '上海祖威医疗保健器械有限公司。', '马莱克斯制药公司', 'OCuSOFT公司。', 'ASC营销有限公司', '圣玛丽医疗园药房', 'Neos Therapeutics LP', 'IXTAPA PACIFICO SA DE CV旅游公司', 'XLCARE制药公司。', '韩密精细化工有限公司。', '阳光制药公司。', '百时美施贵宝制药公司', 'HRA制药美国公司。', '普罗伦理制药公司。', '索尔斯金个人护理有限责任公司']
DC0000393	['意大利礼来水疗中心', '乔治亚呼吸家庭护理和医疗设备有限公司', 'Theravance Biopharma Ireland Umited', '北岸酿酒厂有限责任公司', '垂直制药有限责任公司', 'Care One（美国销售公司）', '自动液体包装公司。', '伊利诺伊州中部纪念家庭服务公司。', '多梅尔实验室', '皮肤病学有限责任公司', '橄榄球实验室公司。', "Oryx Pharmaceuticals Inc.是D'arrow Pharmaceuticals Inc.的子公司", '基医疗服务公司。', 'Ebpd有限责任公司', '辉瑞制药公司辉瑞实验室分部。', '肯拉尔公司。', '麦克尼尔消费者保健部麦克尼尔Ppc公司', '宁波晨星日用品有限公司。', 'Seatex有限责任公司', '意美实业有限公司。']
DC0000394	['医药化妆品', '瑞德堡制药有限公司', '西南特种食品公司', '梅帕有限公司。', '约翰逊医疗咨询公司', '在萨纳伊和塞尔凯蒂之间', 'Limpieza sin有限公司。', '沃尼尔比奥公司', '弗里蒙特恶作剧公司', '英克韦尔全球营销公司。', '死亡闪电酿酒厂有限责任公司', '四川百家燕生物科技有限公司。', '最佳制药公司。', '血栓形成公司。', '延龄草国际贸易集团有限公司。', '威望品牌公司', '美容公司。', 'Humco控股集团公司', 'Shertech实验室有限责任公司', '动态营养协会']
DC0000395	['卓越手套工程有限公司', '复兴制药公司。', '国家药品', 'Ceram Traz公司——dba陶瓷工业涂料', '亚马逊产品', '塔斯泰克有限责任公司', '美国ACI医疗保健公司', '宁波曼尼克生物科技有限公司。', 'DeEnterprise公司。', '诺瓦科学（安大略）有限公司', '浙江安吉华步实业有限公司', '联合米德兰公司', '汉普顿家庭护理', '医生化妆品有限公司', 'Afn经纪有限责任公司', '马克·格拉斯曼公司。', '无菌控制产品公司。', '阿尔沃根公司', '乔治亚太平洋消费品公司', '罗班达国际公司。']
DC0000396	['崔西麦凯维有限公司', '萨奇制药公司。', '中部大陆包装公司。', '里昂蒸馏公司。', '复古制药公司', 'Arcet设备公司Dba Arc3气体北', '欧洲Pt技术公司', 'Lemaitre香水和Jabones SAS', '惠氏有限公司。', 'Chemimex耳鼻喉科生命之源产品', '原材料国际海外有限责任公司', '奥罗宾多制药美国公司', '我是工业界的魁米卡斯', '荣乐食品有限公司。', '三栈蒸馏公司', 'Credentis公司', '东北最好有限责任公司', '科瑞化学公司。', 'Eb5公司', 'Dza品牌']
DC0000397	['越狱玩具公司。', '沃尔格林公司。', 'Colorpop化妆品有限公司', '奥比奥生命科学有限公司', '韦尔克龙医疗保健有限公司', 'A.G.工业', '拉卡销售与营销公司。', 'PENSEUR Kretiva集团', 'Alquimia Najulam S De Rl De Cv', '艾德尔实验室有限公司。', '三河制药有限责任公司', 'ABT贝利马特纳公司', 'Biorganicos Robech，S.de R.L.de C.V。', '帕科制药服务公司', 'R J通用公司', 'Genderm公司', 'Virtus制药有限责任公司', '美国希克玛制药公司。', '均衡维生素', '赖斯家庭医疗有限公司']
DC0000398	['1874蒸馏有限公司。', '金华丹妮丝化妆品有限公司。', 'EMCURE', '通用航空服务供应公司。', '本工程产品有限公司', '圣劳伦斯精神有限责任公司', 'AFFLAB，附属实验室，AFFLINK的一个部门', '长生不老药解决方案公司。', '中伤德国Gmb H', '精密袋', '罗宾制药公司dba角落家庭医疗', '杰罗姆·史蒂文斯制药公司。', '三苏', '麦迪斯蒂克公司', '美丽胶原蛋白有限公司', '施里夫化学服务-美国有限责任公司', '旧金山精品酒店', '德鲁伊实验室公司。', '佐诺控股美国有限责任公司', '世界通用有限责任公司']
DC0000399	['脱毛渗透剂', '利卡索有限公司', '圣玛丽医学园药房。', 'Recipharm AB', '波士顿BGECARE公司', '通州市瑞虹医疗用品厂', 'Karyopharm治疗公司。', '自由健康用品有限责任公司', '萨默塞特治疗有限责任公司', '普罗米修斯实验室公司。', '亚利桑那州医师选择公司。', '纺织快递公司。', '彭纳工业有限公司', 'KDX S A S', '克罗格公司', 'Geiss、Destin和Dunn公司', 'H-D专业集团公司。', 'ULTRA化妆品SH.P.K。', '北京第二制药有限公司。', '犹他大学DBA回旋加速器放射化学实验室亨茨曼癌症研究所']
DC0000400	['制药联合公司。', '多元生物科技私人有限公司', 'Parkmor Drug Inc.dba Goshen Home Medical', 'MAQAS GROUP GAYRIMENKUL TURIZM SANAYI VE TICARET LIMITED SIRKETI', '深圳市同仁实业有限公司', '贝斯特科公司', '实验室直径', '德文产品有限责任公司', '特里顿制药公司', '乐视医疗公司。', '莱克股份有限公司。', '法玛西亚和厄普约翰公司', '大美国Emu公司', '容信药业有限公司。', '诺布姆实验室，S.A.P.I.de C.V。', '梅西基姆·萨德卡夫酒店', '莫勒克公司', 'J SKINCLINIC博士有限公司。', '法姆科全球有限公司', '积极健康解决方案']
DC0000401	['瑞沃生物制品公司。', '沿海制药国际有限责任公司', 'Gfa生产（厦门）有限公司。', '死海水晶健康美容有限公司', '胰淀素制药公司。', '钢铁公司。com有限责任公司', 'Wawho网络公司', '格拉比尔建筑有限公司', '伊泰克361有限责任公司', '德康公司', 'QYK品牌有限责任公司', '加拿大高露洁棕榄公司', 'Impax实验室公司。', 'PT。印尼利库德制药实验室', '丝丽化妆品', '油酸回收公司', '南方制药有限公司', '拜奥特罗公司。', '通化仁盛源生物科技有限公司', 'STI制药有限责任公司']
DC0000402	['阿夫卡尔公司。', '苏芬制药有限公司', '智能科学实验室公司。', '纳米全球', '阿梅罗食品制造公司', '阿米德', '特里根实验室公司。', '防晒霜商店公司。', '温州智轩纸业有限公司', '商队天篷国际公司。', 'SkinMedica制药公司。', '义乌市斯洛吉化妆品有限公司', '健康产品', 'M.G.加拿大有限公司分部负责人', '纳图明制药公司', 'Mas管理小组', '射击企业', 'Stat脚本有限责任公司', 'Bsg风险投资公司。', 'Akorn Stripes有限责任公司']
DC0000403	['丽斯瓦蒂尔科斯梅蒂克斯公司', 'Quinnova制药有限责任公司', '氟橡胶公司', '卡普里尔工业实验室', 'Stat Rx美国', '布里斯克制药公司。', 'Elta MD有限责任公司', '零售商业服务有限责任公司', '门宁加拿大公司。', '阿迪朗达克压缩气体公司', '赫威', '雷梅德有机公司', '吉姆·比姆品牌公司。', '移动产品有限责任公司', '马丁·埃克韦勒制药公司', '图尔库阿兹·萨格利克·希兹梅特莱里·梅迪卡尔·特米兹利克·基米亚·乌伦勒', '纽特拉研究国际有限公司。', '达利姆·蒂森', '维库隆制药公司', '焊工供应-莱米公司']
DC0000404	['过敏科实验室A\\/S', '抗生素有限公司。', '英里高实验室', 'TG联合公司。', '弗莱明联合制药公司', '默克公司。', '加拉，SRL。', '超越国际公司。', '通用生物有限公司。', '裸体艾森塔尔斯美容公司。', '广州乌节香薰护肤有限公司', '圣彼得斯顶点', '瓦卢商品公司', '阿尔沃根公司。', '岩浆Enr', '联合治疗欧洲有限公司', 'Nexus制药公司', '查特韦尔Rx有限责任公司。', '广州真言化妆品有限公司。', '悠悠唇彩，INC']
